credit,age,education,workyears,resideyears,income,debtratio,creditdebt,otherdebt
1,55,2,7.8,7.49,24.54545455,16.72,0.71926272,1.17891072
1,30,4,2.6,0,18.18181818,19.87,0.2820752,1.7127552
1,39,3,0,13.91,28.18181818,8.945,0.14280057,0.16742232
1,37,2,0,5.35,30.90909091,11.655,1.65765402,2.50019952
1,42,2,7.8,9.63,32.72727273,12.205,0.47293092,0.37975392
1,32,2,9.1,2.14,30,26.67,1.40976858,7.50557808
1,22,2,5.2,0,12.72727273,10.185,0.24319064,1.20329664
1,37,2,4.1,5.35,35.45454545,16.905,2.05894689,4.76048664
1,36,2,13,1.07,30,10.815,3.02701344,0.93322944
1,55,2,0,27.82,24.54545455,30.345,3.33289539,5.25048264
1,38,3,7.8,16.05,24.54545455,14.83,0.31709502,1.01913552
1,43,4,2.1,12.84,60,9.765,13.74486432,5.20895232
1,26,3,2.6,0,25.45454545,18.165,2.16279756,3.17882656
1,26,2,3.9,4.28,17.27272727,25.62,1.64360108,3.40875808
1,38,3,1.7,6.42,44.54545455,19.03,0.98919436,3.53234336
1,38,3,1.2,6.42,37.27272727,17.22,3.53104136,3.95801536
1,23,3,1.3,2.14,14.54545455,18.9,0.2927232,2.7436032
1,30,3,1.3,8.56,21.81818182,17.955,1.61886384,2.87673984
1,28,2,0,0,12.72727273,7.875,0.365904,0.777504
1,25,3,0,2.14,19.09090909,11.97,0.93854376,1.68307776
1,36,2,2.6,11.77,22.72727273,13.23,0.693693,2.679768
1,48,2,0.8,19.26,47.27272727,13.545,3.66873936,3.82302336
1,39,2,1.3,3.21,21.81818182,15.855,2.17936488,1.89578688
1,31,2,6.9,1.07,38.18181818,17.77,1.76375892,1.71636192
1,34,3,4.3,6.42,68.18181818,24.465,9.388269,10.104744
1,30,3,2.6,3.21,20.90909091,16.72,0.22620224,1.33645824
1,30,3,0.4,3.21,28.18181818,8.61,1.80550634,1.09183984
1,31,2,1.3,2.14,18.18181818,19.53,0.6886836,3.2768736
1,28,2,5.2,3.21,24.54545455,11.025,2.9912652,0.3773952
1,31,3,6.5,4.28,32.72727273,13.02,4.22392608,1.01207808
1,25,3,0,1.07,15.45454545,29.085,2.47288426,2.77190576
1,27,2,1.3,6.42,13.63636364,11.97,0.4489947,1.3924872
1,34,3,0,6.42,16.36363636,16.09,0.35876016,0.77740416
1,43,4,2.6,0,13.63636364,27.615,2.37240465,2.0637084
1,40,4,5.2,6.42,28.18181818,9.765,1.61165466,1.61309616
1,55,2,1.7,19.26,45.45454545,11.76,2.43936,3.72736
1,33,3,0,4.28,24.54545455,13.44,1.3172544,2.4620544
1,27,2,1.3,0,18.18181818,7.035,0.5707328,0.9030528
1,25,2,3.9,0,17.27272727,8.82,0.337953,1.369368
1,36,5,7.8,3.21,24.54545455,37.065,2.39876208,7.85049408
1,33,2,2.6,4.28,20,13.335,1.32186934,1.76960784
1,41,3,9.1,2.14,61.81818182,13.65,1.230086,8.136336
1,31,3,5.2,3.21,33.63636364,16.93,1.4035395,1.333332
1,26,2,0,2.14,14.54545455,16.8,1.2204544,1.6134144
1,29,2,1.7,6.42,40.90909091,18.69,3.4503876,5.3647776
1,45,2,6.9,24.61,69.09090909,6.405,2.60283584,2.58429184
1,56,2,1.7,2.14,25.45454545,15.54,1.88535424,2.68929024
1,35,2,1.7,4.28,26.36363636,14.49,1.63189554,2.75945904
1,33,3,2.6,1.07,23.63636364,17.14,0.3422848,1.5445248
1,37,3,1.3,8.56,21.81818182,13.125,0.71511,2.50536
1,42,3,6.9,11.77,92.72727273,19.845,7.53442074,13.57325424
1,24,2,5.2,2.14,21.81818182,16.38,1.97971488,2.19218688
1,34,2,1.3,0,18.18181818,15.04,0.3810048,0.6709248
1,35,3,2.6,14.98,31.81818182,24.045,2.57000975,6.126666
1,42,2,3.2,22.47,39.09090909,15.75,3.3793485,3.803436
1,29,3,5.2,3.21,20,13.86,1.31417616,1.89062016
1,38,2,13,0,25.45454545,11.76,0.9865856,2.4134656
1,33,2,1.3,6.42,19.09090909,22.625,0.335412,0.257712
1,26,2,1.3,0,16.36363636,26.195,0.2891295,0.855972
1,33,3,7.8,6.42,29.09090909,24.255,4.04283264,4.21284864
1,46,4,0.4,10.7,80,16.405,0.34424984,5.28683584
1,46,2,6.5,3.21,43.63636364,19.45,2.3836032,2.4440832
1,37,4,6.5,3.21,33.63636364,15.67,0.70351578,1.47324528
1,29,3,9.1,8.56,27.27272727,14.2,0.541596,0.782496
1,29,5,0,6.42,63.63636364,18.4,1.958264,4.140864
1,31,4,6.5,6.42,63.63636364,20.895,3.8430084,11.1841184
1,45,3,1.7,5.35,54.54545455,21.42,4.887432,8.528832
1,57,2,3.9,11.77,36.36363636,8.4,0.681472,2.742272
1,34,3,2.6,11.77,13.63636364,9.555,0.14369355,1.2960948
1,41,2,7.8,20.33,38.18181818,20.895,3.07440672,6.04985472
1,35,2,6.9,3.21,47.27272727,22.365,3.2834802,8.6968752
1,54,2,1.7,11.77,21.81818182,20.16,0.97016832,3.95845632
1,33,4,1.7,7.49,53.63636364,15.33,3.76268134,5.72451984
1,29,3,1.3,0,18.18181818,10.815,0.4561458,1.7503408
1,28,3,2.6,6.42,21.81818182,14.28,1.90757952,1.75498752
1,32,2,0,11.77,15.45454545,23.885,0.5403739,0.1897064
1,33,2,4.3,6.42,25.45454545,15.04,0.41794368,1.03853568
1,36,2,5.5,2.14,35.45454545,25.935,5.29179222,5.47000272
1,40,3,2.6,17.12,20,23.835,1.46234308,3.93687008
1,33,2,13,12.84,44.54545455,10.29,3.91622308,1.62807008
1,27,3,5.2,5.35,24.54545455,25.25,0.6648345,0.832572
1,49,2,7.7,19.26,117.2727273,26.565,24.8791851,12.5587176
1,41,2,4.7,16.05,54.54545455,28.455,11.608014,6.933264
1,31,2,2.6,0,12.72727273,15.12,0.70985376,1.48651776
1,29,4,5.2,1.07,36.36363636,3.255,0.3435916,0.9942816
1,29,4,3.9,4.28,40.90909091,11.55,0.3533805,4.844268
1,40,2,0,8.56,20.90909091,8.505,1.08653886,1.00363536
1,42,3,6.5,12.84,31.81818182,17.22,1.9169304,4.3219904
1,56,2,2.5,12.84,109.0909091,27.825,17.661402,17.891952
1,31,4,3.9,3.21,45.45454545,2.52,0.313632,0.978432
1,30,5,2.6,4.28,37.27272727,2.625,0.555632,0.588432
1,30,4,7.8,8.56,42.72727273,20.79,6.74489574,3.88097424
1,30,2,5.2,2.14,25.45454545,14.91,0.5292056,3.6801856
1,42,4,6.5,3.21,200,16.8,9.881344,28.114944
1,32,2,0,8.56,17.27272727,17.43,0.75563532,2.63068832
1,43,4,3.4,6.42,64.54545455,16.485,7.94435543,4.76467368
1,43,4,9.1,6.42,50.90909091,15.225,0.4519592,8.0563392
1,41,2,2.6,16.05,20,24.255,2.31825594,3.29272944
1,26,3,0,2.14,13.63636364,16.905,0.38864595,2.1775572
1,39,2,0,19.26,16.36363636,13.545,1.91616084,0.76793184
1,35,2,4.2,8.56,65.45454545,43.365,18.1701828,15.3080928
1,50,2,3.9,21.4,45.45454545,32.34,7.397698,9.657648
1,41,3,2.6,12.84,41.81818182,16.8,4.8446464,3.4904064
1,54,6,1.7,0,63.63636364,9.87,1.6082836,5.4608736
1,26,4,2.6,5.35,14.54545455,6.72,0.32710656,0.78381056
1,55,5,6.5,31.03,70.90909091,18.165,8.39245836,6.82040736
1,49,4,1.7,1.07,47.27272727,21.105,3.07320156,8.22865056
1,25,2,2.6,2.14,14.54545455,10.08,0.97388544,0.76038144
1,32,4,0,8.56,59.09090909,31.185,4.7185281,16.0216056
1,27,5,0,6.42,21.81818182,12.705,1.932612,1.359072
1,31,3,1.3,7.49,26.36363636,22.26,2.81941132,3.97062432
1,34,3,4.3,4.28,51.81818182,24.99,6.58235886,8.45107536
1,48,2,1.3,16.05,19.09090909,15.54,1.66598124,1.80040224
1,25,5,0,4.28,29.09090909,19.32,0.99030272,5.27235072
1,25,2,2.6,1.07,22.72727273,24.725,0.1497375,1.0413
