roe,top1,top5,top10,stop1,stop5,stop10
16.129999,13.04,34.261299,49.580601,170.0416,1173.8367,2458.2361
15.79,13.04,34.261299,48.3083,170.0416,1173.8367,2333.6919
15.9,13.04,39.551102,51.254902,170.0416,1564.2897,2627.0649
15.12,14.87,44.709099,50.291901,221.1169,1998.9036,2529.2754
15.26,14.87,41.681099,47.180099,221.1169,1737.314,2225.9617
14.96,11.23,39.718399,46.9851,126.11289,1577.5513,2207.5996
12.47,34.709999,71.025101,72.292801,1204.7841,5044.5649,5226.249
13.36,34.709999,71.423698,72.545998,1204.7841,5101.3447,5262.9219
13.96,34.709999,71.873703,72.497101,1204.7841,5165.8291,5255.8296
13.08,16.709999,31.358801,44.218399,279.22406,983.37439,1955.2668
13.73,16.709999,32.206902,44.469601,279.22406,1037.2845,1977.5454
14.91,16.709999,33.477699,45.946098,279.22406,1120.7563,2111.0439
16.26,14.56,31.8804,43.652599,211.99361,1016.3599,1905.5494
19.27,3,8.2191,12.5827,9,67.553604,158.32434
22.16,1.48,6.2596998,10.1309,2.1904001,39.183842,102.63514
10.73,11.77,30.482901,41.4506,138.53291,929.20721,1718.1522
10.89,11.77,35.3498,42.645699,138.53291,1249.6084,1818.6556
11.82,11.77,36.585499,42.381302,138.53291,1338.4988,1796.1748
12.72,0.88,1.4518,1.4518,0.7744,2.1077232,2.1077232
13.56,0.88,1.4783,1.4783,0.7744,2.1853709,2.1853709
14.44,1.0700001,1.5038,1.5038,1.1449001,2.2614145,2.2614145
11.72,37.150002,77.791603,79.355797,1380.1226,6051.5337,6297.3423
13.1,37.150002,77.360703,78.463997,1380.1226,5984.6782,6156.5986
14.06,40.029999,84.472298,85.426598,1602.4008,7135.5688,7297.7036
10.82,64.019997,68.2229,68.804199,4098.5601,4654.3643,4734.0181
11.58,64.019997,68.133698,68.517303,4098.5601,4642.2007,4694.6211
11.86,64.019997,67.903503,68.103104,4098.5601,4610.8857,4638.0327
10.57,22.030001,49.047199,53.872501,485.32092,2405.6277,2902.2463
10.75,22.030001,48.973499,53.5322,485.32092,2398.4036,2865.6965
11.36,22.030001,49.2243,53.783001,485.32092,2423.0317,2892.6111
10.07,59.139999,62.3913,62.543301,3497.5396,3892.6743,3911.6646
10.65,59.139999,62.2584,62.4263,3497.5396,3876.1084,3897.043
10.93,59.139999,61.975601,62.157902,3497.5396,3840.9751,3863.6047
10.36,17.75,26.598499,29.760201,315.0625,707.48016,885.66956
10.75,20.4,28.686701,31.6542,416.15997,822.92682,1001.9883
10.8,20.4,28.931999,31.8995,416.15997,837.06061,1017.5781
10.2,49.57,67.911102,71.039803,2457.1848,4611.918,5046.6533
10.74,49.560001,62.9552,66.1688,2456.1938,3963.3572,4378.3101
10.93,48.099998,61.456799,64.907097,2313.6099,3776.938,4212.9312
11.49,18.700001,57.1082,72.4673,349.69003,3261.3464,5251.5098
12.47,18.700001,57.1082,72.106499,349.69003,3261.3464,5199.3472
13.68,18.700001,57.1082,71.796402,349.69003,3261.3464,5154.7231
