grade,age,marry,years,income,education,consume,work,gender,family
3,65,0,22,1277.73,5,138,0,0,1
3,49,0,27,1047.045,5,90,0,0,3
3,52,0,22,659.55,5,102,0,0,1
3,41,1,15,467.505,5,57,0,0,2
3,48,1,21,400.455,5,90,0,0,2
3,51,1,22,384.54,5,99,0,0,2
3,60,0,44,379.995,5,93,0,0,1
3,45,1,23,359.55,5,78,0,0,4
3,58,1,13,334.545,5,114,0,0,2
3,53,0,23,328.86,5,78,0,0,1
3,47,1,12,325.455,5,66,0,0,2
3,45,0,26,319.77,5,60,0,0,1
3,52,0,25,298.185,5,108,0,0,1
3,65,1,33,290.22,5,87,0,0,2
3,45,1,13,283.41,5,78,0,0,6
3,50,0,14,267.495,5,39,0,0,1
3,35,0,20,261.825,5,42,0,0,1
3,49,0,31,235.68,5,69,0,0,1
3,44,1,18,233.415,5,54,0,0,2
3,57,0,39,232.275,5,78,0,0,1
3,47,0,3,225.45,5,60,0,0,1
3,46,1,14,223.185,5,84,0,0,4
3,41,0,11,220.905,5,75,0,0,1
3,49,1,3,214.095,5,72,0,0,2
3,28,1,8,205.005,5,21,0,0,3
3,48,1,16,203.865,5,78,0,0,2
3,54,1,25,203.865,5,54,0,0,2
3,51,1,36,200.46,5,69,0,0,3
3,38,0,21,198.18,5,39,0,0,1
3,49,0,18,187.95,5,99,0,0,1
3,56,1,33,181.14,5,96,0,0,5
3,59,1,36,177.72,5,96,0,0,2
3,43,0,14,177.72,5,75,0,0,2
3,54,0,39,176.595,5,93,0,0,1
3,44,1,11,173.175,5,75,0,0,4
3,50,0,28,168.63,5,39,0,0,2
3,58,1,20,168.63,5,93,0,0,2
3,47,1,6,164.085,5,63,0,0,3
3,41,1,5,162.96,5,75,0,0,2
3,51,0,21,159.54,5,90,0,0,4
3,43,0,24,156.135,5,42,0,0,1
3,59,1,4,156.135,5,66,0,0,2
3,29,0,8,147.045,5,18,0,0,6
3,52,1,13,145.905,5,75,0,0,4
3,62,1,28,137.955,5,75,0,0,2
3,29,0,7,134.55,5,18,0,0,1
3,40,1,2,132.27,5,66,0,0,5
3,36,0,3,131.13,5,39,0,0,3
3,51,0,13,130.005,5,72,0,0,1
3,35,0,9,127.725,5,9,0,0,3
3,42,1,24,125.46,5,36,0,0,3
3,36,0,21,117.495,5,30,0,0,1
3,62,0,4,115.23,5,102,0,0,3
3,50,0,35,115.23,5,72,0,0,1
3,36,0,7,562.95,4,27,0,0,1
3,49,1,3,112.95,4,60,0,0,2
3,35,1,9,110.685,5,21,0,0,7
3,31,0,11,110.685,3,30,0,0,1
3,56,0,38,110.685,4,42,0,0,1
3,30,0,2,108.405,4,39,0,0,1
3,41,1,3,105,4,66,0,0,3
3,49,1,1,102.72,4,30,0,0,2
3,44,1,8,102.72,4,72,0,0,4
3,32,0,3,101.595,3,15,0,0,1
3,55,1,11,101.595,4,54,0,0,4
3,48,0,19,101.595,4,102,0,0,4
3,38,0,7,99.315,4,51,0,0,1
3,54,1,22,99.315,4,69,0,0,2
3,50,0,33,98.175,4,87,0,0,1
3,45,1,14,95.91,4,75,0,0,2
3,26,1,5,94.77,4,12,0,0,4
3,27,1,9,94.77,4,36,0,0,5
3,29,0,3,92.505,3,30,0,0,1
3,42,1,20,92.505,1,66,0,0,2
3,41,0,25,91.365,2,60,0,0,1
3,41,1,25,91.365,2,57,0,0,3
3,35,1,11,89.085,3,39,0,0,2
3,49,0,22,85.68,1,57,0,0,1
3,48,1,6,83.415,4,12,0,0,2
3,36,0,17,82.275,2,51,0,0,1
3,52,0,16,82.275,1,78,0,0,1
3,32,0,1,81.135,5,24,0,0,1
3,26,1,4,79.995,5,9,0,0,4
3,58,1,40,78.87,3,66,0,0,2
3,32,1,6,78.87,2,33,0,0,3
3,25,0,10,77.73,5,6,0,0,1
3,56,1,38,76.59,1,63,0,0,2
3,54,1,19,74.325,4,93,1,0,2
3,44,0,10,74.325,3,42,0,0,5
3,29,0,2,73.185,5,12,0,0,2
3,35,0,5,72.045,5,15,0,0,1
3,33,0,4,70.905,3,9,0,0,1
3,44,1,20,70.905,3,39,0,0,3
3,41,1,3,69.78,2,48,0,0,5
3,54,1,19,69.78,1,72,0,0,2
3,48,0,10,67.5,5,42,0,0,2
3,39,0,4,67.5,3,33,0,0,1
3,32,0,8,67.5,2,36,0,0,1
3,46,1,19,67.5,1,69,0,0,4
3,52,0,13,66.36,3,75,0,0,1
3,44,1,20,66.36,2,69,0,0,3
3,39,1,12,66.36,2,57,0,0,2
3,45,1,16,65.22,3,63,0,0,2
3,37,0,8,65.22,1,60,0,0,1
3,32,0,6,64.095,5,39,0,0,2
3,26,1,1,64.095,4,15,0,0,4
3,27,1,1,64.095,4,15,0,0,4
3,43,1,18,64.095,4,6,0,0,2
3,49,1,22,64.095,1,75,0,0,3
3,33,1,15,62.955,5,33,0,0,6
3,33,0,14,62.955,3,30,0,0,2
3,52,1,14,61.815,1,81,0,0,2
3,60,0,20,61.815,1,84,0,0,1
3,36,1,13,60.675,5,33,0,0,3
3,30,0,2,60.675,1,21,0,0,2
3,29,0,5,58.41,2,36,0,0,4
3,45,0,28,58.41,1,57,0,0,1
3,39,1,1,55.005,5,9,0,0,5
3,51,0,32,52.725,5,69,0,0,1
3,23,0,3,52.725,3,12,0,0,1
3,40,0,13,52.725,2,39,0,0,1
3,53,0,20,50.46,5,36,0,0,1
3,64,1,45,50.46,1,105,1,0,2
3,51,1,3,49.32,3,12,0,0,2
3,39,0,21,48.18,3,42,0,0,1
3,40,1,16,47.04,3,15,0,0,6
3,28,0,5,47.04,3,48,0,0,1
3,50,1,14,47.04,3,33,0,0,3
3,43,1,15,45.915,2,36,0,0,5
3,29,0,11,45.915,3,33,0,0,1
3,19,1,1,44.775,3,3,0,0,2
3,39,0,22,44.775,3,15,0,0,1
3,42,1,5,44.775,3,21,0,0,2
