pb,roe,debt,assetturnover,rdgrow
11.24,17.37,48.24,0.65,30.77
11.13,17.22,51.84,0.73,29.72
11.13,17.22,51.84,0.73,29.72
10.7,17.14,30.41,0.67,22.71
9.6,16.73,28.29,0.43,21.29
9.1,16.73,20.56,0.46,21
8.99,16.73,9.32,0.33,19.7
8.67,16.41,6.68,0.72,19.62
8.6,15.62,18.97,0.52,17.39
8.54,15.25,33.29,0.45,15.83
8.4,14.97,14.89,0.26,11.06
8.36,13.94,23.23,0.24,9.5
8.08,13.91,34.39,0.56,3.82
8.01,13.69,15.68,0.95,3.21
7.89,13.33,9.07,0.28,0.77
7.79,13.11,27.39,0.62,52.5
7.7,12.86,38.93,0.51,90.44
7.51,12.79,3.17,0.29,46.93
7.47,12.71,29.33,0.82,18.93
7.46,12.65,31.73,0.65,64.43
7.32,12.27,28.63,0.62,34.61
7.31,12.13,37.07,0.65,11.59
7.15,11.93,22.44,0.88,59.56
7.11,11.76,9.16,0.39,31.42
6.95,11.75,17.55,0.48,28.88
6.81,11.71,31.01,0.46,499.27
6.78,11.6,40.53,0.41,237.79
6.76,11.16,41.62,0.57,230.72
6.76,11.06,23.65,0.41,148.73
6.66,11.04,22.28,0.47,133.57
6.4,11.01,10.15,1.1,130.13
6.38,10.9,11.17,0.42,92.91
6.32,10.78,51.99,0.73,92.07
6.25,10.51,25.63,0.99,77.76
6.18,10.51,57.79,0.65,76.65
6.06,10.36,18.62,0.48,74.56
6,10.2,7.93,0.43,62.41
5.95,10.2,9.11,0.29,61.37
5.88,10.15,14.73,0.25,59.36
5.78,10.14,69.79,0.31,49.08
5.7,8.1,15.14,0.57,47.86
5.7,12.7,32.28,0.6,43.8
5.66,7.8,21.03,0.52,43.07
5.65,11.5,67.88,0.71,42.25
5.61,14.9,49.28,0.52,40.41
5.6,11.61,23.32,1.33,39.91
5.6,12.19,18.06,0.43,39.69
5.56,5.67,6.04,0.36,39.46
5.52,6.17,29.2,0.69,39.28
5.42,10.41,42.87,0.63,39.2
5.42,4.01,28.94,0.54,38.19
5.4,12.74,33.9,0.46,34.21
5.38,12.48,41.29,0.75,33.09
5.35,5.03,36.1,0.95,32.66
5.32,1.77,26.86,0.44,32.57
5.32,10.57,47.05,0.63,31.45
5,10.71,54.23,1.13,31.3
4.99,11.4,22.73,0.35,31.3
4.99,5.27,7.67,0.29,31.08
4.91,3.33,17.46,0.99,30.5
4.86,5.35,14.54,0.35,30.22
4.71,5.07,48.64,0.58,29.22
4.69,14.9,16.69,0.32,27.43
4.67,11.21,17.15,0.42,26.94
4.52,6.24,19.61,0.27,26.6
4.42,4.36,32.95,0.77,25.41
4.41,16.09,2.26,0.25,25.15
4.4,8.01,30.63,0.59,24.43
4.37,7.47,11.14,0.56,24.3
4.36,11.96,51.62,0.76,23.61
4.34,7.91,60.91,1.17,22.17
4.33,4.94,3.99,0.27,21.32
4.29,8.29,11.75,0.25,20.98
4.21,10.29,11.54,0.53,20.82
4.14,10.51,20.04,0.61,19.36
4.11,7.59,25.83,0.87,19.36
4.07,12.56,16.13,0.46,19.14
4.04,1.13,23.9,0.42,18.89
4,11.9,37.2,0.66,18.8
3.9,7.06,51.62,0.61,18.17
3.87,2.87,49.79,1.01,17.24
3.86,5.96,55.21,0.44,16.67
3.81,9.81,31.78,0.6,16.33
3.8,5.77,20,0.74,16.06
3.8,9.59,26.98,0.57,15.59
3.77,10.17,20.03,0.55,14.99
3.74,3.28,7.86,0.47,14.9
3.7,6.88,71.67,0.84,14.68
3.68,3.77,70.71,0.44,13.2
3.66,1.24,43.84,0.73,13.19
3.64,3.85,17.99,0.53,13.14
3.63,6.86,4.47,0.17,12.88
3.6,8.4,43.88,0.28,12.31
3.6,2.37,26.46,0.47,12.21
3.5,7.87,42.11,0.62,11.94
3.46,5.78,43.14,0.59,11.57
3.4,8.54,44.73,0.41,11.32
3.35,1.53,42.98,0.54,9.23
3.3,1.54,31.4,0.47,9.21
3.27,1.69,49.86,0.58,8.06
3.18,8.03,26.61,0.35,7.05
3.17,7.8,47.17,0.66,6.89
3.14,4.73,42.57,0.59,6.5
3.13,6.76,33.81,0.78,6.34
3.08,4.56,9.6,0.21,6.23
3.08,4.56,41.19,0.65,5.98
3.02,3.78,50.67,0.71,2.46
2.97,5.95,32.43,0.36,81.52
2.95,5.43,37.84,0.62,138.69
2.92,1.66,48.45,0.53,-9.11
2.85,5.96,31.42,0.43,17.31
2.85,6.64,23.15,0.6,150.42
2.82,9.93,22.83,0.44,80.3
2.77,9.75,26.95,0.68,-17.05
2.75,9.66,29.79,0.84,38.41
2.74,9.58,11.95,0.22,1.01
2.73,9.51,19.54,0.5,15.7
2.64,9.18,15.28,0.34,8.03
2.54,8.99,24.04,0.44,14.94
2.45,8.97,24.17,0.12,17.67
2.42,8.92,9.39,0.26,-15.52
2.41,8.84,15.39,0.21,-1.26
2.35,8.69,29.85,0.58,9.23
2.28,8.59,54.19,0.93,9.2
2.24,8.55,29.2,0.69,1.39
2.22,8.45,40.92,0.84,1.1
2.13,8.06,9.01,0.27,-0.56
2.11,7.53,43.19,0.6,-1.34
2.1,7.08,23.93,0.41,-1.44
2.03,7.08,35.19,0.54,-1.92
1.99,6.98,20.17,0.31,-2.66
1.99,6.43,33.4,0.98,-6.8
1.94,6.09,58.18,0.67,-8.51
1.94,5.97,29.94,0.48,-8.53
1.87,5.59,10.53,0.21,-9.9
1.83,4.52,24.69,0.42,-10.95
1.78,4.35,31.41,0.41,-11.23
1.67,4.28,20.33,0.28,-11.93
1.66,4.27,47.21,0.34,-16.44
