V1,V2,V3,V4,V5,V6,V7
0,20.33,3,1,20.66,0,0
0,36.59,1,1,8.67,0,1
0,34.96,2,1,19.67,1,0
0,26.83,1,2,21.54,1,1
0,21.14,4,1,16.92,0,1
0,36.59,2,1,3.61,1,0
0,24.39,2,1,12.85,1,0
0,21.95,4,1,7.9,1,1
0,20.33,2,2,17.14,1,0
0,20.33,2,1,4.49,1,0
0,21.14,1,1,29.9,0,1
0,24.39,1,1,19.01,0,0
0,26.02,1,1,17.14,1,0
1,22.76,1,2,20.11,1,1
0,36.59,2,1,5.92,0,1
0,18.7,2,1,8.56,1,0
0,27.64,2,1,10.1,1,1
0,34.15,1,1,6.36,1,0
0,31.71,2,1,15.71,0,1
1,21.14,2,1,9.55,0,0
0,17.07,1,1,8.78,1,1
0,28.46,2,2,6.25,0,0
0,38.21,2,1,12.74,0,1
1,18.7,1,1,13.84,0,1
0,28.46,2,1,9.44,1,0
1,27.64,2,1,15.16,1,0
0,37.4,2,1,16.7,1,0
1,37.4,2,1,15.49,1,1
0,30.89,4,1,5.37,0,0
0,32.52,1,1,11.75,0,0
1,30.08,2,1,17.91,1,1
0,28.46,2,2,6.8,0,0
0,31.71,1,1,3.94,0,0
0,32.52,4,1,4.05,1,1
0,40.65,4,1,14.72,0,0
0,25.2,2,2,3.94,1,1
1,23.58,2,1,9.44,0,0
0,30.08,2,1,14.94,1,1
0,26.83,1,1,9,0,1
0,21.14,1,1,9.88,0,0
1,26.02,1,1,26.93,0,0
1,22.76,1,1,8.34,1,0
0,31.71,2,1,11.31,1,0
1,22.76,1,1,10.32,1,0
1,23.58,2,1,21.76,0,0
0,27.64,1,1,26.71,1,0
0,22.76,1,1,27.48,1,0
0,38.21,2,1,15.38,1,0
0,34.96,3,3,12.96,0,1
0,33.33,2,1,3.17,1,0
0,38.21,2,1,27.48,1,0
0,19.51,2,1,1.96,0,1
0,23.58,2,1,8.67,1,1
0,26.83,2,1,4.16,0,0
0,29.27,2,1,4.82,1,1
1,21.14,2,1,12.85,1,0
0,25.2,2,1,20,1,0
0,30.08,2,1,22.86,0,0
0,28.46,3,1,13.4,0,1
0,21.14,2,1,7.24,1,0
0,32.52,2,1,21.98,0,0
1,23.58,1,1,14.94,0,1
0,30.08,4,3,28.36,0,1
0,26.02,2,1,4.49,0,1
1,18.7,1,1,31.77,0,1
0,26.02,2,1,8.12,1,0
1,20.33,2,3,13.84,0,0
0,30.89,2,1,12.96,1,0
1,26.02,1,1,7.68,1,1
1,33.33,4,1,30.23,0,1
0,29.27,2,1,6.14,1,0
0,34.15,4,1,4.93,1,0
0,33.33,2,1,9.33,1,1
0,23.58,1,1,8.23,1,0
1,30.89,4,1,11.53,0,1
0,31.71,2,1,4.16,0,1
0,29.27,2,3,10.43,1,0
0,26.83,2,1,7.68,0,1
0,34.15,1,1,4.71,0,1
0,33.33,1,1,27.26,1,0
0,32.52,2,1,5.26,0,0
1,43.09,2,1,13.62,0,1
0,22.76,2,1,16.15,0,0
0,29.27,1,1,9.99,0,0
0,27.64,1,1,12.41,0,0
0,36.59,4,1,6.69,1,0
0,30.89,2,1,11.09,1,0
0,17.07,4,1,9.77,1,1
0,34.15,2,4,24.84,1,0
0,42.28,2,1,10.76,1,0
0,20.33,1,1,7.02,1,1
0,27.64,1,4,8.12,0,0
0,32.52,1,1,5.04,1,0
1,25.2,1,1,15.38,0,0
1,20.33,2,1,8.67,1,1
0,36.59,2,1,11.75,0,1
1,18.7,2,1,10.54,0,0
1,27.64,3,1,40.13,1,1
1,25.2,2,1,15.27,1,0
0,22.76,2,1,4.38,1,1
0,33.33,2,1,6.14,0,0
1,31.71,1,1,15.6,0,0
0,23.58,1,1,2.84,0,0
0,17.07,2,5,11.2,0,0
0,33.33,1,1,7.68,1,0
0,21.14,3,1,4.49,0,0
0,26.83,2,1,15.49,1,0
0,36.59,1,1,20.44,1,1
0,31.71,2,4,16.37,0,0
0,19.51,2,1,8.23,0,1
0,23.58,1,1,3.72,1,0
0,21.95,1,1,14.94,0,0
0,32.52,2,1,7.79,0,1
0,23.58,2,1,8.67,0,0
1,23.58,1,1,8.56,1,0
1,19.51,2,1,18.9,1,0
1,21.95,2,1,20.88,0,1
0,33.33,4,1,6.14,0,0
0,25.2,2,1,11.31,1,0
0,33.33,2,1,7.24,1,0
0,34.15,1,1,5.04,0,1
0,22.76,3,1,14.94,0,0
0,24.39,3,1,12.3,1,0
0,24.39,2,1,10.54,0,1
0,25.2,2,1,10.1,1,1
0,36.59,1,1,21.21,0,0
1,34.96,2,1,8.01,1,0
1,33.33,4,1,11.53,1,1
0,21.95,2,1,20.33,1,1
0,32.52,2,1,7.35,0,0
0,33.33,2,1,4.49,1,1
1,19.51,1,1,20.33,0,1
0,33.33,1,1,12.52,1,0
0,31.71,2,1,34.96,1,0
0,34.96,2,1,5.26,0,0
1,19.51,2,1,28.14,0,1
0,29.27,2,1,22.97,1,1
0,21.95,2,1,3.17,0,0
0,20.33,2,1,7.02,1,0
0,42.28,2,1,12.3,1,0
0,30.08,2,1,19.23,1,1
0,39.02,2,5,11.31,0,1
1,29.27,1,5,10.76,1,0
1,29.27,1,5,19.34,0,1
0,34.96,2,1,9.66,0,0
0,31.71,2,1,7.57,0,0
0,33.33,4,1,3.17,1,1
0,31.71,2,1,4.82,1,1
0,38.21,2,1,7.46,1,0
0,22.76,2,1,12.3,1,0
0,23.58,2,1,12.08,0,0
1,17.07,1,5,21.1,0,1
0,29.27,2,1,19.23,1,0
0,22.76,2,1,9.22,1,0
0,21.95,1,1,15.82,0,0
0,29.27,4,1,22.42,0,0
0,26.83,2,1,13.73,0,0
1,43.9,2,5,17.58,1,0
1,26.83,2,1,16.48,0,1
0,25.2,2,1,6.25,1,1
0,17.07,2,1,11.09,1,0
0,22.76,4,1,10.87,1,0
1,25.2,1,1,8.78,1,0
0,26.02,2,1,5.81,0,0
1,28.46,1,5,15.05,0,1
0,21.14,1,1,3.39,1,0
0,32.52,4,1,14.61,1,0
1,35.77,2,4,11.2,1,1
0,23.58,4,1,6.25,0,0
1,28.46,4,1,7.24,0,1
0,27.64,2,1,12.74,0,1
0,27.64,4,1,8.67,1,1
0,37.4,2,1,12.52,0,1
0,33.33,1,1,14.72,1,0
1,21.95,1,1,5.7,0,1
1,21.95,3,1,10.1,1,1
