V1,V2,V3,V4,V5
0,2520.35,277.115,51.4808,22
0,1702.4,282.35,62.126,51
0,1917.65,345.125,21.3194,44
0,1401.05,350.36,55.0292,42
1,3381.35,360.83,269.7074,32
0,1401.05,376.52,28.4162,24
0,1358,407.915,60.3518,26
0,1487.15,413.15,14.2226,41
0,1616.3,413.15,111.8036,55
0,1960.7,413.15,35.513,71
0,1917.65,439.31,31.9646,37
0,1616.3,491.63,69.2228,55
0,1314.95,507.32,102.9326,53
0,2520.35,517.79,180.9974,42
1,3510.5,528.245,81.6422,25
0,1616.3,549.17,134.8682,25
1,3941,585.8,147.2876,27
1,2606.45,591.035,269.7074,37
2,11259.5,601.49,766.4834,35
0,1831.55,622.43,35.513,51
0,1444.1,627.65,138.4166,73
0,2132.9,638.12,129.5456,49
1,2606.45,643.355,221.804,27
0,2046.8,664.28,147.2876,31
1,2778.65,674.75,275.03,34
0,2305.1,690.44,90.5132,41
1,3381.35,695.675,299.8688,44
0,1831.55,700.91,269.7074,40
0,1573.25,747.995,127.7714,27
0,1874.6,805.55,310.514,42
1,3424.4,884.03,672.4508,53
0,2821.7,899.72,220.0298,38
0,1616.3,915.41,360.1916,20
1,3682.7,941.57,670.6766,37
0,1228.85,962.51,110.0294,21
1,2391.2,978.2,330.0302,69
1,2735.6,978.2,104.7068,29
1,2175.95,983.435,253.7396,19
1,1142.75,1035.755,157.9328,25
1,1401.05,1077.605,76.3196,57
2,5835.2,1098.53,544.7084,51
2,3252.2,1145.63,993.581,27
1,1573.25,1192.715,393.9014,28
1,3467.45,1245.035,516.3212,40
1,1401.05,1328.75,39.0614,49
1,1358,1401.995,344.2238,39
2,4242.35,1579.88,894.2258,37
2,1228.85,1684.52,166.8038,41
