V1,V2,V3,V4,V5,V6
1,60.8,3,2,1,1
1,59.78,3,2,2,1
1,59.75,2,1,1,1
1,59.74,3,2,1,1
1,59.44,2,2,1,1
1,59.29,1,1,1,1
1,59.23,3,2,1,2
1,59.2,2,1,1,1
1,59.15,3,2,2,2
1,59.09,1,2,1,2
1,58.69,1,2,1,2
1,58.54,2,2,1,1
1,58.41,3,1,1,1
1,58.36,2,2,2,2
1,58.16,3,1,1,1
1,58.12,2,2,1,1
1,58.09,2,1,1,1
1,58,3,1,1,1
1,57.92,3,2,1,2
1,57.86,2,2,2,2
1,57.51,3,2,2,2
1,57.44,3,2,1,1
1,57.43,3,2,1,1
1,57.39,3,2,2,1
1,57.36,3,2,1,2
1,57.35,3,2,1,1
1,57.29,3,2,1,1
1,57.21,2,1,1,1
1,57.18,3,2,1,1
1,57.17,2,2,1,2
1,57.1,3,2,1,1
1,57.06,2,1,1,1
1,56.96,3,2,1,1
1,56.93,2,2,1,1
0,56.68,1,2,2,2
1,56.43,3,1,1,1
1,56.27,3,2,2,2
1,56.23,2,1,1,1
1,56.15,3,2,1,1
1,55.93,3,1,1,1
1,55.83,2,2,1,1
1,55.67,3,2,1,1
1,55.3,3,2,1,1
1,55.18,1,2,1,1
1,55.07,2,1,1,1
1,55,1,2,1,1
1,54.86,3,2,1,1
1,54.85,3,2,1,1
0,54.8,3,2,2,2
1,54.69,3,1,1,1
1,54.68,3,2,1,1
0,54.68,2,2,1,2
1,54.58,3,1,1,1
1,54.58,3,2,1,1
1,54.46,3,2,2,1
1,54.2,3,2,2,2
1,54.12,2,2,2,1
1,54.11,3,2,1,1
1,53.87,3,2,2,1
0,53.86,1,2,2,2
1,53.82,3,2,2,2
0,53.82,2,2,2,2
1,53.8,2,1,1,1
1,53.75,3,2,1,1
1,53.7,2,2,2,1
1,53.67,1,2,2,1
1,53.62,2,2,2,2
1,53.6,2,2,1,1
1,53.44,2,1,1,1
1,53.42,3,2,1,2
1,53.37,3,1,1,1
1,53.36,2,2,1,1
1,53.35,3,2,2,2
1,53.33,3,2,1,1
1,53.21,3,2,1,1
1,53.14,3,2,1,1
1,53.07,3,2,1,2
1,52.97,3,2,1,1
0,52.95,1,2,2,2
1,52.86,2,2,1,1
1,52.82,2,2,1,1
1,52.77,2,2,1,1
1,52.69,2,2,1,2
1,52.59,3,2,1,1
1,52.57,2,2,2,1
1,52.55,2,1,1,1
1,52.52,3,1,1,1
1,52.45,2,2,1,1
1,52.44,3,2,2,2
1,52.36,2,1,1,1
1,52.36,3,1,1,1
1,52.36,2,1,1,1
1,52.31,2,2,2,1
1,52.3,2,2,1,1
1,52.12,2,2,2,1
0,51.91,2,2,1,1
1,51.84,2,2,1,1
1,51.75,2,2,1,1
1,51.71,3,2,1,1
1,51.66,2,2,2,2
0,51.63,2,1,2,1
0,51.58,1,2,1,2
1,51.33,3,2,2,1
1,51.29,3,2,1,1
0,51.28,1,2,1,2
1,51.25,3,2,2,2
1,51.15,1,1,1,1
1,51.11,2,1,1,1
1,51.08,3,1,1,1
1,51.07,2,2,1,2
1,51.05,3,2,1,1
1,51,3,2,2,1
1,50.98,1,2,1,2
1,50.93,3,1,1,1
1,50.92,3,2,1,1
1,50.9,2,1,1,1
1,50.9,3,2,2,2
1,50.88,3,2,2,2
1,50.87,3,1,1,1
0,50.83,1,2,1,2
1,50.74,3,1,1,1
1,50.74,3,1,1,1
1,50.71,2,2,1,1
1,50.69,3,2,1,2
1,50.67,2,2,1,1
1,50.66,3,2,1,1
1,50.64,2,1,1,1
1,50.62,2,2,1,1
1,50.61,3,2,1,2
1,50.51,3,2,1,2
1,50.46,2,2,2,2
1,50.42,2,1,1,1
1,50.41,2,2,1,1
1,50.38,3,2,1,1
1,50.24,2,1,2,1
1,50.23,3,2,1,1
1,50.17,1,2,1,1
1,50.14,3,2,2,1
0,50.12,1,2,2,2
1,50.04,2,1,2,1
1,50.03,2,2,1,1
1,49.92,2,1,1,1
1,49.92,3,2,1,2
1,49.79,3,2,1,1
1,49.79,2,2,2,1
1,49.75,2,1,1,1
1,49.72,2,2,2,2
1,49.71,3,2,1,1
1,49.7,3,2,1,1
1,49.68,2,2,2,1
0,49.62,1,2,2,2
1,49.58,2,1,1,1
1,49.53,3,2,1,1
1,49.48,2,2,2,2
1,49.47,3,1,2,1
1,49.42,2,2,1,1
1,49.4,2,1,1,1
1,49.36,1,2,2,1
1,49.35,2,2,1,1
1,49.28,2,1,1,1
1,49.27,3,2,1,1
1,49.21,3,2,1,1
1,49.18,2,1,1,1
1,49.11,2,2,2,2
1,49.1,3,2,1,2
1,49.08,3,2,1,2
1,49.07,3,2,1,1
1,49.04,2,2,1,1
1,48.91,3,2,2,1
0,48.86,1,2,2,2
1,48.83,2,1,1,1
1,48.83,2,2,2,2
1,48.78,2,2,1,1
1,48.77,3,2,1,1
1,48.73,3,1,1,1
1,48.72,3,1,1,1
1,48.69,3,2,1,1
1,48.67,2,2,1,1
1,48.65,3,1,1,1
1,48.63,3,2,1,1
1,48.63,3,2,1,2
1,48.56,3,2,1,1
1,48.5,3,2,2,2
1,48.49,3,2,1,1
1,48.3,2,2,1,1
1,48.3,3,2,1,1
1,48.3,3,2,1,1
1,48.21,3,2,2,2
1,48.2,2,2,1,2
0,48.19,3,2,2,1
1,48.15,3,2,2,2
1,48.05,2,2,2,1
1,48.05,3,2,1,2
1,47.97,2,2,2,1
0,47.97,1,2,2,2
1,47.96,2,2,1,1
1,47.89,2,2,1,1
0,47.89,3,2,2,2
1,47.86,2,2,2,2
1,47.83,3,1,1,1
1,47.82,3,2,2,1
1,47.8,1,2,1,1
1,47.79,3,1,1,1
1,47.78,2,2,1,1
1,47.76,3,2,1,1
1,47.75,3,2,2,1
1,47.73,2,2,2,1
1,47.71,2,1,1,1
1,47.71,3,2,1,2
1,47.7,3,2,1,1
1,47.69,1,2,1,2
0,47.66,1,2,2,2
1,47.65,3,2,1,2
1,47.59,3,1,1,1
1,47.56,3,2,1,1
1,47.56,3,2,1,1
1,47.55,3,2,2,1
0,47.55,3,2,2,2
1,47.48,3,2,1,2
1,47.47,2,1,1,1
1,47.47,3,2,1,1
0,47.44,2,2,1,2
1,47.39,3,2,2,1
0,47.37,1,2,2,2
1,47.35,1,1,1,1
1,47.34,1,2,1,2
1,47.3,2,2,1,1
1,47.3,1,2,1,1
1,47.3,3,2,2,1
1,47.28,3,2,1,1
1,47.28,2,1,1,1
0,47.26,1,2,2,2
1,47.22,3,2,2,2
1,47.19,3,1,2,1
1,47.16,3,1,1,1
0,47.16,1,2,2,2
1,47.14,3,2,2,2
1,47.11,2,1,1,1
1,47.1,3,2,1,2
1,47.08,3,2,1,1
1,47.08,1,2,2,1
1,47.05,2,1,1,1
1,46.99,3,1,1,1
1,46.98,3,2,1,2
1,46.95,3,2,2,2
1,46.95,3,2,1,2
1,46.94,1,2,2,2
1,46.9,3,2,2,2
1,46.88,1,2,1,1
0,46.77,1,2,1,2
0,46.76,2,2,1,2
1,46.67,1,1,1,1
1,46.65,3,1,1,1
1,46.62,3,2,2,1
1,46.58,3,2,1,1
1,46.56,3,2,1,1
0,46.56,1,2,2,2
1,46.55,3,2,1,2
1,46.54,3,2,1,2
0,46.54,2,2,1,2
1,46.52,2,2,2,2
1,46.51,3,2,2,2
0,46.51,1,2,2,2
1,46.49,2,2,1,1
1,46.48,1,1,2,1
0,46.48,1,2,1,2
1,46.46,1,2,1,1
1,46.46,3,2,1,2
