profit	invest	labor	rd
777	146.5	358	46.81
1088	184.5	532	73.35
2003	214.5	666	123.13
2864	254.5	755	154.41
3399	303.5	876	253.67
4123	339.5	1024	261.21
5120	377.5	1134	373.85
6532	438.5	1345	404.35
7735	538.5	1678	489
8765	684.5	1777	532
9952	890.5	1899	588
10034	1050.5	1934	614
11873	1185.5	2034	784
12328	1448.5	2346	901.91
14321	1688.5	2489	1053.17
16345	2020.5	2671	1243.43
17654	2134	2871	1511.67
19993	2219.5	3012	2024.38
21232	2671.5	3123	2176.82
23123	3096.5	3209	2345
25321	3531.5	3341	2678
29934	4007.5	3501	2899
32008	4397.5	3623	3266
35003	4815.5	3743	3588
37891.5	5023	3809	3999
