V1,V2,V3,V4,V5
3,2,110.9,107,2
3,5,73.8,73.5,2
3,2,111.3,101.9,2
3,4,247.7,202,2
3,8,227.5,167,2
3,2,99.8,86.3,2
3,11,120.9,109.7,2
3,12,175.1,156.4,2
3,16,98.8,87.9,1
3,5,207.8,189.4,2
3,10,101.2,76.1,2
3,6,179.5,186.2,2
3,10,193.7,143.3,2
3,1,78.5,67.1,1
3,7,91,94.9,2
3,8,206.2,178.8,2
3,8,250.5,222.7,2
3,5,60,62.3,2
3,5,95.7,89.1,2
3,3,104.6,88.3,2
3,1,186.8,198.3,2
3,6,88.2,82.7,2
3,8,105.2,96.8,2
3,1,227.1,172.3,2
3,7,79,80.4,2
3,8,85.4,92.6,2
3,3,185.3,155.3,2
3,9,122.1,93.9,2
3,4,64.1,68.2,2
3,4,173.7,161.1,2
3,5,98.6,87.3,2
3,2,198.2,188.8,2
3,5,78.6,67.8,2
3,4,100,98,2
3,1,179.7,163.5,2
3,4,211.3,186,2
3,9,98.9,85.3,2
3,2,257.9,204.5,2
3,5,186.9,157.6,2
3,7,103.4,100.6,2
3,7,244.9,208.3,2
3,10,109.3,100.1,2
3,5,119.1,117.2,2
3,1,113.2,113.1,2
3,9,227.6,174.3,2
3,7,201.4,182.2,2
3,6,168.3,198.9,2
3,12,276.5,209,2
3,9,66.9,54.7,2
3,2,233.7,172.6,2
3,12,107.2,104.6,2
3,11,114.6,109.1,2
3,9,115.6,111.4,2
3,6,73.3,83.1,2
3,5,85.2,99.1,2
3,4,97.6,97.7,2
3,7,226.9,159.9,2
3,9,114.3,97.7,2
3,6,178.6,173.6,2
3,3,282.8,154.4,2
3,6,183.8,138.8,2
3,8,206.3,169.8,2
3,25,216.7,182.2,1
3,11,210.4,198.7,2
3,6,229.7,150.8,2
3,1,123.8,112.8,2
3,7,183.9,136.4,2
3,6,107.6,92.7,2
3,6,80.5,81.5,2
3,2,139.3,130.4,2
3,1,170.8,175.4,2
3,11,227.3,135.6,2
3,27,175.1,156.4,1
3,5,70,62,2
3,6,135.8,148.2,2
3,11,218.5,173.4,2
3,11,137.5,139.8,2
3,2,198.1,143.9,2
3,8,131.3,121.9,2
3,3,99.4,90.5,2
3,2,79.6,68.8,2
3,7,85.5,93.4,2
3,1,90,73.3,2
3,5,232.6,173.2,1
3,2,173,151.9,2
3,1,113.3,94.6,2
3,6,125.6,127.7,2
3,5,107,105.4,2
3,11,236.9,220.1,2
3,3,106.2,108.8,2
3,1,108.1,98.9,2
3,6,91.3,89.5,2
3,9,226.4,197.4,2
3,5,107.6,104.8,2
3,9,127.4,122.9,2
3,10,106.1,102.6,2
3,10,96.3,92.6,2
3,11,230.2,226.2,2
3,5,72.3,57.5,2
3,8,219.6,173.6,2
3,3,177,158.9,2
3,9,247.2,216.8,1
3,5,197.7,197.8,2
3,6,97.8,99.8,2
3,7,96.3,111.1,2
3,4,172.8,169.1,2
3,10,185.6,173,2
3,5,71.6,82.6,2
3,11,103.6,94.8,2
3,9,89.9,94.2,2
3,12,277.4,225.7,2
3,3,196.9,175,2
3,1,233.3,236.5,2
3,2,95,79.1,2
3,11,139.6,137.4,2
3,5,224.3,194.1,2
3,8,120,107.2,2
3,12,202.1,162.6,2
3,10,83.8,87.4,2
3,1,203,196.2,2
3,11,188.2,164.3,2
3,9,270.9,196.6,2
3,1,82.4,70.1,2
3,5,184.8,178.6,2
3,11,80.8,63.6,2
3,10,122.1,121.8,2
3,5,229.4,124.7,2
3,1,118,104.2,2
3,9,234.2,156.1,2
3,4,232,213,2
3,12,121.6,97.7,2
3,9,130.6,129.9,2
3,7,227.3,134.3,2
3,2,120.9,129.5,2
3,3,100.4,101,2
3,6,186,194.4,2
3,11,121.9,108.7,2
3,6,80.9,79.2,2
3,1,109.8,106.2,2
3,11,124.5,115.7,2
3,19,121.6,97.7,1
3,1,215,197.1,2
3,9,92.4,96.5,2
3,12,249.8,217.5,2
3,3,240.8,218.9,2
3,5,50.4,51.5,2
3,8,93.2,99,2
3,5,282.4,208.7,2
3,1,85.7,92.4,2
3,8,220.9,187.2,2
3,9,135.9,96.6,2
3,12,110.6,107,2
3,10,77.3,73,2
3,2,72.1,76.7,2
3,2,93.5,81.3,2
3,9,132.2,134.9,2
3,3,117.3,102.6,2
3,4,277.4,225.7,1
3,5,104.5,86.3,2
3,2,201.8,188.1,2
3,6,71.4,69.1,2
3,5,76.5,79.8,2
3,8,102.6,103.1,2
3,10,215.6,146.8,2
3,11,212.8,131,2
3,11,94.3,110.2,2
3,9,123.7,118.7,2
3,9,107.2,104.6,1
3,2,171.5,171.3,2
3,1,90.7,80.2,2
3,4,117.7,111.4,2
3,1,222.6,154,2
3,1,200,176.9,2
3,7,263.7,183.9,2
3,6,132.4,124.2,2
3,10,206.3,224.7,2
3,1,36.3,37.3,2
3,5,73.6,72,2
3,6,140.6,158.5,2
3,1,122.8,128.6,2
3,7,226.6,187.8,2
3,12,65.4,72.9,2
3,2,242.1,181.6,2
3,5,193.2,182.9,2
3,11,224.3,191.7,2
3,7,113,112.2,2
3,7,83.7,91.6,2
3,1,232.5,193.3,2
3,10,126.1,119.3,2
3,3,74.4,74.3,2
3,7,109.5,105.6,2
3,6,255.4,225.5,2
3,6,99.3,96.2,2
3,7,52.5,53.3,2
3,11,119.7,95.5,2
3,7,237.5,193,2
