V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
北京,54.3,24.1,35.5,.5,44.5,10.1,11,0,0,0,140.7,43.7,0,0,.3,0,0,2,1.1,0
天津,109.1,25.5,65.40000000000001,.1,101.2,20.4,22.9,0,41.2,74.09999999999999,199.5,64.40000000000001,0,3.9,1.9,0,828.9,9.800000000000001,0,0
河北,139.4,21.4,116.7,66.59999999999999,17.3,38.3,12.3,57.5,1084.6,933.5,884.8,291.8,0,122.3,26.9,1198.8,138.5,1.6,0,12.1
山西,0,0,0,0,0,0,0,0,2500.9,267.5,927.8,305.1,0,101.4,26.9,28502.4,0,28.1,20.4,32.2
内蒙古,41.7,4.4,40.4,1.9,10.1,9.1,0,0,1122,125.1,1429.4,463.2,0,230.5,32.1,25393.6,11.5,72.90000000000001,.1,89
辽宁,509.1,109.7,510.7,83.7,233.1,87.09999999999999,87.40000000000001,190,584.5,339.4,523.9,175.7,82,54.3,7,748.6,260.9,2,0,0
吉林,61.4,7.3,63,8.300000000000001,21.3,3.5,5.1,0,106.1,60.1,250.2,81,0,30.7,7.8,178.3,110.4,5.2,0,3.9
黑龙江,140.9,11.3,86.40000000000001,10,.9,40.7,4.8,1.1,328.6,41.5,287.8,96.40000000000001,0,35.5,6.5,1388.1,741.2,14.1,.1,2.3
上海,147.3,61.8,154.6,31.1,55.9,28.2,27.5,18.3,138,63.7,242.9,75.90000000000001,0,5,.1,0,13.5,4.5,0,0
江苏,193.5,76.8,131.9,94.90000000000001,97.5,45.3,37.5,102.9,372.3,421.4,1339.1,484.1,100.9,82.59999999999999,17.9,231.6,37.4,1,.8,0
浙江,182.2,150.1,218.3,72,93.09999999999999,174.7,47,105.3,51.7,35.6,857.7,338.8,166.2,9.9,9.6,0,0,0,0,0
安徽,69.90000000000001,13.5,41.2,2.8,3.9,18.8,6.3,0,320.2,126.6,714,247.6,0,18.8,17.4,2855,0,.6,.6,.2
福建,86,104.8,83.3,30.6,15.8,34.6,9.300000000000001,31.6,55.5,70.5,613.8,233.1,177.1,32.6,.9,129.3,0,0,0,0
江西,57.5,15.1,51.1,7.6,9.800000000000001,11.6,8.9,1.7,169.4,99.8,331.9,116.3,0,13.6,7.3,61.3,0,0,0,0
山东,517.9,35.5,718.1,239.4,218.8,384.7,271.1,649.5,813.5,269.5,1441.1,490.1,48.1,75.5,15.6,2312.1,545.8,1.3,0,7.2
河南,61.2,13.9,54.2,1.3,6.7,18,0,24,385.9,120.1,700.4,225.8,0,42.5,11.5,2550.7,58.2,.8,0,4.4
湖北,106.3,23.4,110.5,5.2,45.9,15.2,23,4.7,219.9,101.2,664.5,225.6,0,23.5,7.9,3.8,13.2,.3,0,8.300000000000001
湖南,46.9,13.5,33.1,2.6,1.9,12.6,5.9,2.2,154.2,91.2,374.3,130.2,0,27,2.3,169.7,0,0,0,0
广东,342.9,159.9,371.2,167.1,162.7,119.1,74,92.5,145.9,99.3,1292.4,501.7,281.6,23.3,9.800000000000001,0,435.8,32.7,0,0
广西,125.5,32,132.9,7.1,3,25,11.7,23.9,257.7,148.9,483.8,174.5,46.5,33.8,2.4,56,11.6,0,0,1
海南,70.5,31.9,63.9,16.7,6,23.8,0,2,0,0,78.09999999999999,28.6,23.6,1,1.4,0,7.8,.3,0,0
重庆,0,0,0,0,0,0,0,0,78.2,40.5,232.5,78.8,0,3.9,1,0,0,21.4,0,11.8
四川,58.6,29.9,45.1,3.8,.2,6.1,0,17.8,260.9,97.59999999999999,760.5,253.6,0,32.8,7.3,391.2,2.2,133.3,.7,33.7
贵州,0,0,0,0,0,0,0,0,106.7,22,589,198.8,0,22.6,10.6,2838.5,0,1.2,1.2,2.2
云南,58.9,15.2,64.40000000000001,0,0,10.6,4.8,5.3,283.3,90.40000000000001,672.2,228.3,0,79.90000000000001,9.800000000000001,1399.2,0,0,0,2.7
西藏,0,0,0,0,0,0,0,0,0,0,14.3,4.7,0,0,1.8,0,0,0,0,0
陕西,177.8,20.4,177.1,35.4,9.9,11.8,0,5.4,1238.5,58.9,694.6,243.8,0,30.3,21.2,16364,631.8,80.3,.1,85.90000000000001
甘肃,117.3,22.7,127.1,.8,1.4,7.9,10.2,0,142.3,45,439.4,146.2,0,67.59999999999999,25.4,1049.2,247.7,.9,0,4.1
青海,13.8,0,17.4,.5,0,.9,0,0,47.8,5.4,192.2,65.59999999999999,0,24.3,40.4,210.3,57.7,16.5,0,2.7
宁夏,48.4,3.3,53.6,6.1,41.2,20.5,9.1,4.5,250.4,33.6,531.2,182.4,0,63.7,26.6,2044.2,32.2,0,0,18.4
新疆,103.6,18.6,208.3,17.3,3.8,11.4,46.9,50.6,637.6,76.7,1147.4,383.4,0,107.8,30.2,6980.2,731.4,102.1,.2,30
