code,Profit contribution,Net interest income,Intermediate income,Deposit and finance daily
1,1109.9,618.42,1004.86,54821.86
2,2870.44,1039.36,3106.76,92199.62
3,952.1,1313.68,1,102790.62
4,-13.28,1,1,2.04
5,541361.76,778733.64,952.7,69145484.68
6,8265.64,640.5,12163.1,523592.74
7,415.26,55.16,629.34,4807.76
8,421231.08,385134.54,11066.26,58560540.32
9,4469.02,4921.16,1397.24,436871.3
10,690.68,184.72,1006.66,16313.8
11,-19.56,3,1.56,177.82
12,34758.74,14226.36,17609,1263119.66
13,196.68,4.3,331.98,295.76
14,1273.08,282.08,1509.08,24960.18
15,865.9,22.06,1247.56,1873.52
16,1171.66,700.82,1016.08,62139.96
17,-19.56,1.36,1,30.04
18,2369.28,2891.38,657.62,256644.96
19,2227.02,465.54,2719.84,41248.1
20,515.76,368.12,393.46,32597.74
21,5015.9,5598.58,1302.9,497024.5
22,7248.92,7143.06,3204.08,634161.02
23,16973.1,26744.68,2684.14,2282079.24
24,2119.4,1296.9,565.94,115065.12
25,2183625.74,3457126.82,812.2,472448719.2
26,396.44,180.52,511.4,15940.46
27,227.62,4.88,331.18,345.34
28,388.82,8.54,567.04,668.14
29,206.02,4.46,417.98,309.08
30,113337.2,152849.82,6517.68,16415010.42
31,-17.16,4.6,1,318.84
32,708.92,1,953.84,1
33,3168.8,2685.6,1878.36,238373.18
34,-77.24,1,1,1.92
35,70.52,1.02,114.22,2.38
36,37.96,23.14,61.26,1960.48
37,2900.5,3100.32,944.38,275195.82
38,16522.92,8903.52,4131.78,790476.22
39,246.54,9.22,456.26,733.44
40,1325.1,108.2,1699.12,9515.92
41,11797.7,15961.44,2467.1,1417163.2
42,-24.28,1,1,4.86
43,786.7,24.44,1070.5,2079.42
44,711.8,122.92,897.22,10824.78
45,13976.28,19664.98,1,1746011.94
46,724.82,60.62,963.28,5295.08
47,146.9,1,265.14,1
48,2594.66,2126.62,2533.16,188739.22
49,279.14,46.38,387.8,4031.54
50,1270.5,745.52,1010.44,66107.28
51,185.3,2.36,273.06,123.74
52,864.12,301.82,987.8,26711.52
53,21934.78,21875.12,9436.84,1942253.72
54,277.7,1,378.36,1
55,7458.64,2492.1,806.7,221192.8
56,324.08,77.44,406.74,6791.22
57,392.38,108.36,604.76,9532.96
58,11118.92,11119.8,1916.14,1058135.64
59,3818.16,3173.62,1957.66,281704.16
60,35954.72,176850.66,1676.46,436407.88
61,1324.22,330.7,1620.06,29273.48
62,889.48,459.16,1234.98,40682.44
63,192655.84,284651.86,133.08,33695854.04
64,545.56,5.54,970.62,405.12
65,433.92,16.2,719.56,1346.92
66,992.32,138.12,1308.52,12176.86
67,89.72,19.72,123.64,1662.36
68,391.84,53.62,608.54,4673.98
69,-2.26,16.88,1,1409.12
70,459.2,88.42,591.54,7764.08
71,-42.12,1,2.88,1.26
72,1109.38,514.22,1214.62,45570.22
73,904.26,1285.34,208.82,241776.36
74,5516.34,7204.2,695.34,639589.64
75,194.26,9.06,378.36,714.8
76,-27.68,1.12,1,12.16
77,4,1,10.44,1
78,717258.06,1106616.74,1236.92,98258984.3
79,2869.1,3294.82,614.2,292466.42
80,45559.86,29.6,60784.02,2541.64
81,-9.88,1.52,142.54,47.86
82,266.84,5,378.36,356.08
83,580.78,19.62,944.4,1652.76
84,369.72,2.5,519.86,132.1
85,121.4,120.56,85.9,10614.66
86,104.6,28.32,162.8,2426.88
87,412.28,72.08,680.2,6312.08
88,3434.68,954.32,4278.42,84649.88
89,298.42,128.32,404.84,11303.58
90,53580.16,72276.98,2184.06,6417554.68
91,69,1,95.34,1
92,11464.64,17348.34,1133.1,1540309
93,228.08,9.84,340.6,786.38
94,125.46,129.54,106.66,11414.78
95,643.18,14.56,1057.56,1205.64
96,190.2,12.28,284.06,999.96
