V1,V2,V3,V4,V5,V6,V7,V8,V9
0,20.33,3,2,3,2835.2,20.66,2101.48,429.27
0,36.59,1,11,27,6113.4,8.67,697.22,482.16
0,34.96,2,27,22,5670.4,19.67,932.9,1198.02
0,26.83,1,14,9,5138.8,21.54,3024.56,933.57
0,21.14,4,4,2,3278.2,16.92,196.4,621.15
0,36.59,2,5,16,1772,3.61,108.02,39.36
0,24.39,2,3,11,1949.2,12.85,1119.48,143.91
0,21.95,4,4,8,2303.6,7.9,707.04,103.32
0,20.33,2,10,5,2392.2,17.14,1001.64,353.01
0,20.33,2,10,2,3101,4.49,78.56,115.62
0,21.14,1,8,8,3987,29.9,5941.1,694.95
0,24.39,1,12,5,1949.2,19.01,1384.62,261.99
0,26.02,1,14,2,4784.4,17.14,3142.4,563.34
1,22.76,1,3,9,2126.4,20.11,1315.88,340.71
0,36.59,2,25,6,4430,5.92,549.92,189.42
0,18.7,2,9,3,2746.6,8.56,333.88,210.33
0,27.64,2,19,4,5227.4,10.1,1777.42,357.93
0,34.15,1,9,24,3632.6,6.36,923.08,115.62
0,31.71,2,21,6,4252.8,15.71,1895.26,536.28
1,21.14,2,2,1,1240.4,9.55,294.6,92.25
0,17.07,1,2,2,1417.6,8.78,147.3,115.62
0,28.46,2,15,16,3101,6.25,422.26,140.22
0,38.21,2,6,3,2303.6,12.74,117.84,317.34
1,18.7,1,2,3,1860.6,13.84,765.96,199.26
0,28.46,2,20,3,3721.2,9.44,206.22,356.7
1,27.64,2,4,12,2215,15.16,559.74,317.34
0,37.4,2,3,13,1772,16.7,795.42,244.77
1,37.4,2,18,19,4607.2,15.49,2975.46,452.64
0,30.89,4,5,19,2215,5.37,304.42,75.03
0,32.52,1,5,3,2480.8,11.75,540.1,259.53
1,30.08,2,3,4,2126.4,17.91,1767.6,223.86
0,28.46,2,11,2,3012.4,6.8,392.8,159.9
0,31.71,1,18,14,6113.4,3.94,1040.92,72.57
0,32.52,4,20,7,8860,4.05,1463.18,125.46
0,40.65,4,12,21,7088,14.72,2435.36,895.44
0,25.2,2,11,11,2480.8,3.94,49.1,76.26
1,23.58,2,15,2,3721.2,9.44,1433.72,202.95
0,30.08,2,6,1,2037.8,14.94,854.34,243.54
0,26.83,1,6,10,4873,9,2121.12,207.87
0,21.14,1,7,8,2480.8,9.88,1001.64,142.68
1,26.02,1,13,7,6645,26.93,7620.32,1195.56
1,22.76,1,4,4,2037.8,8.34,186.58,158.67
0,31.71,2,21,9,4075.6,11.31,2474.64,205.41
1,22.76,1,10,4,2746.6,10.32,1463.18,129.15
1,23.58,2,3,3,1772,21.76,559.74,387.45
0,27.64,1,5,9,1860.6,26.71,1374.8,424.35
0,22.76,1,7,10,3012.4,27.48,3044.2,613.77
0,38.21,2,28,22,8860,15.38,4497.56,1011.06
